,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
319,DP 31,1.32,3,0.18950077,0.12681263,c5a
320,DP 32,1.34,3,0.18424379,0.1262973,c5a
321,DP 33,1.36,3,0.18003152,0.12571926,c5a
322,DP 34,1.38,3,0.17633046,0.12509863,c5a
323,DP 35,1.4,3,0.17287493,0.12445992,c5a
324,DP 0,0.7,7,0.84792979,0.092308088,c5a
325,DP 1,0.72,7,0.85130627,0.099720712,c5a
326,DP 2,0.74,7,0.84274987,0.10769273,c5a
327,DP 3,0.76,7,0.82349136,0.11558911,c5a
328,DP 4,0.78,7,0.80761579,0.12431056,c5a
329,DP 5,0.8,7,0.78558259,0.13286777,c5a
330,DP 6,0.82,7,0.76629482,0.14246785,c5a
331,DP 7,0.84,7,0.74678543,0.15308047,c5a
332,DP 8,0.86,7,0.72684262,0.16548888,c5a
333,DP 9,0.88,7,0.68966665,0.17795651,c5a
334,DP 10,0.9,7,0.64209067,0.19052165,c5a
335,DP 11,0.92,7,0.64642053,0.20638608,c5a
336,DP 12,0.94,7,0.61785221,0.20914602,c5a
337,DP 13,0.96,7,0.59676644,0.20519556,c5a
338,DP 14,0.98,7,0.58008068,0.20150422,c5a
339,DP 15,1,7,0.56589126,0.19814292,c5a
340,DP 16,1.02,7,0.55360055,0.19510158,c5a
341,DP 17,1.04,7,0.54242083,0.19228353,c5a
342,DP 18,1.06,7,0.5324097,0.18967131,c5a
343,DP 19,1.08,7,0.52324708,0.18721987,c5a
344,DP 20,1.1,7,0.51492068,0.18492733,c5a
345,DP 21,1.12,7,0.50753614,0.18282293,c5a
346,DP 22,1.14,7,0.50114379,0.18094046,c5a
347,DP 23,1.16,7,0.49560305,0.17921873,c5a
348,DP 24,1.18,7,0.4904639,0.17767195,c5a
349,DP 25,1.2,7,0.48541099,0.17621653,c5a
350,DP 26,1.22,7,0.48034543,0.1747784,c5a
351,DP 27,1.24,7,0.47539682,0.17328765,c5a
352,DP 28,1.26,7,0.47120737,0.17183955,c5a
353,DP 29,1.28,7,0.46695635,0.17067374,c5a
354,DP 30,1.3,7,0.45938553,0.16941928,c5a
355,DP 31,1.32,7,0.44947636,0.16797446,c5a
356,DP 32,1.34,7,0.43805662,0.16648211,c5a
357,DP 33,1.36,7,0.42611971,0.16499541,c5a
358,DP 34,1.38,7,0.41581363,0.16363205,c5a
359,DP 35,1.4,7,0.40709551,0.16239122,c5a
360,DP 0,0.7,-13,-0.49612255,0.17634136,c5a
361,DP 1,0.72,-13,-0.49861504,0.17902541,c5a
362,DP 2,0.74,-13,-0.50334208,0.18223335,c5a
363,DP 3,0.76,-13,-0.51271112,0.18644029,c5a
364,DP 4,0.78,-13,-0.53087287,0.19266215,c5a
365,DP 5,0.8,-13,-0.56577291,0.20186479,c5a
366,DP 6,0.82,-13,-0.6206275,0.21514571,c5a
367,DP 7,0.84,-13,-0.68739686,0.23311082,c5a
368,DP 8,0.86,-13,-0.77728464,0.25950446,c5a
369,DP 9,0.88,-13,-0.89558589,0.29955951,c5a
370,DP 10,0.9,-13,-1.0563902,0.36120893,c5a
371,DP 11,0.92,-13,-1.1211668,0.38963188,c5a
372,DP 12,0.94,-13,-1.0895802,0.38355006,c5a
373,DP 13,0.96,-13,-1.0579741,0.37456016,c5a
374,DP 14,0.98,-13,-1.0316309,0.36672334,c5a
